player,ETV
Murillo,€68.4M
Myles Lewis-Skelly,€34.9M
Nathan Collins,€33.3M
Neco Williams,€23.4M
Nick Pope,€11.7M
Nicolas Jackson,€66.2M
Nicolás Domínguez,€18.8M
Nikola Milenković,€38M
Noni Madueke,€51.6M
Noussair Mazraoui,€43M
Nélson Semedo,€8.4M
Ola Aina,€18.8M
Oliver Skipp,€17M
Ollie Watkins,€61.4M
Omar Marmoush,€79.1M
Omari Hutchinson,
Orel Mangala,€24.4M
Pape Matar Sarr,€50.8M
Pau Torres,€45.3M
Paul Onuachu,€12.7M
Pedro Porro,€55.9M
Pedro Neto,€60.6M
Pervis Estupiñán,€37.1M
Phil Foden,€105.7M
Radu Drăgușin,
Rasmus Højlund,
Rayan Aït-Nouri,
Raúl Jiménez,€5.1M
Riccardo Calafiori,
Rico Lewis,€62.7M
Robert Sánchez,€24.9M
Rodrigo Muniz,€8.2M
Rodrigo Bentancur,€31.5M
Ryan Yates,€18.3M
Ryan Christie,€16.2M
Ryan Gravenberch,€85.3M
Ryan Manning,€3.9M
Rúben Dias,€58.5M
Sam Morsy,€1.3M
Sammie Szmodics,€14.1M
Sander Berge,€27.8M
Sandro Tonali,€52.9M
Santiago Bueno,€11.2M
Saša Lukić,€12.1M
Sepp van den Berg,€26.4M
Simon Adingra,€34M
Son Heung-min,
Stefan Ortega,€5.8M
Stephy Mavididi,€12.9M
Sávio,€74.8M
Taylor Harwood-Bellis,€29.9M
Thomas Partey,
Timothy Castagne,€17.4M
Tomáš Souček,€23.2M
Tosin Adarabioyo,€24.3M
Toti Gomes,€18.6M
Trent Alexander-Arnold,€55.8M
Trevoh Chalobah,€20.1M
Tyler Adams,€24.4M
Tyler Dibling,€32.7M
Tyrick Mitchell,€24.6M
Tyrone Mings,€5.8M
Valentino Livramento,€49.3M
Victor Bernth Kristiansen,
Virgil van Dijk,€24.3M
Vitaliy Mykolenko,€33.5M
Vitaly Janelt,€27.1M
Wes Burns,€2.1M
Wesley Fofana,€30.3M
Wilfred Ndidi,€20.3M
Will Hughes,€11.1M
William Saliba,€79.5M
Wout Faes,€25M
Yankuba Minteh,€42.6M
Yasin Ayari,€21.4M
Yehor Yarmoliuk,€18M
Yoane Wissa,€31.4M
Youri Tielemans,€41.5M
Yukinari Sugawara,€15.7M
Yves Bissouma,€29.8M
Álex Moreno,€11M
İlkay Gündoğan,€12.1M
Łukasz Fabiański,€0.9M
